nohup: ignoring input
[2026-01-25T09:22:40.581Z] [INFO] [STARTUP] Loaded environment with
[2026-01-25T09:22:40.582Z] [INFO] [STARTUP] PATH includes:
[2026-01-25T09:22:40.583Z] [INFO] [STARTUP] API keys loaded:
[2026-01-25T09:22:40.583Z] [INFO] [STARTUP] Voice App URL: http://localhost:3000
[2026-01-25T09:22:40.592Z] [INFO] ================================================================
[2026-01-25T09:22:40.592Z] [INFO] Gemini HTTP API Server
[2026-01-25T09:22:40.593Z] [INFO] ================================================================
[2026-01-25T09:22:40.593Z] [INFO] 
Listening on: http://0.0.0.0:3333
[2026-01-25T09:22:40.593Z] [INFO] Health check: http://localhost:3333/health
[2026-01-25T09:22:40.593Z] [INFO] 
Ready to receive Gemini queries from voice interface.

[2026-01-25T09:22:43.934Z] [INFO] [2026-01-25T09:22:43.934Z] GET /health
[2026-01-25T09:22:43.962Z] [INFO] [2026-01-25T09:22:43.962Z] GET /logs
[2026-01-25T09:22:45.821Z] [INFO] [2026-01-25T09:22:45.821Z] GET /logs
[2026-01-25T09:22:47.820Z] [INFO] [2026-01-25T09:22:47.820Z] GET /logs
[2026-01-25T09:22:48.898Z] [INFO] [2026-01-25T09:22:48.898Z] GET /health
[2026-01-25T09:22:49.821Z] [INFO] [2026-01-25T09:22:49.821Z] GET /logs
[2026-01-25T09:22:51.883Z] [INFO] [2026-01-25T09:22:51.883Z] GET /logs
[2026-01-25T09:22:53.886Z] [INFO] [2026-01-25T09:22:53.886Z] GET /logs
[2026-01-25T09:22:53.897Z] [INFO] [2026-01-25T09:22:53.897Z] GET /health
[2026-01-25T09:22:55.880Z] [INFO] [2026-01-25T09:22:55.880Z] GET /logs
[2026-01-25T09:22:57.879Z] [INFO] [2026-01-25T09:22:57.879Z] GET /logs
[2026-01-25T09:22:58.919Z] [INFO] [2026-01-25T09:22:58.919Z] GET /health
[2026-01-25T09:22:59.881Z] [INFO] [2026-01-25T09:22:59.881Z] GET /logs
[2026-01-25T09:23:01.920Z] [INFO] [2026-01-25T09:23:01.920Z] GET /logs
[2026-01-25T09:23:03.935Z] [INFO] [2026-01-25T09:23:03.935Z] GET /logs
[2026-01-25T09:23:03.971Z] [INFO] [2026-01-25T09:23:03.971Z] GET /health
[2026-01-25T09:23:05.915Z] [INFO] [2026-01-25T09:23:05.915Z] GET /logs
[2026-01-25T09:23:07.921Z] [INFO] [2026-01-25T09:23:07.921Z] GET /logs
[2026-01-25T09:23:09.004Z] [INFO] [2026-01-25T09:23:09.004Z] GET /health
[2026-01-25T09:23:09.918Z] [INFO] [2026-01-25T09:23:09.918Z] GET /logs
[2026-01-25T09:23:11.984Z] [INFO] [2026-01-25T09:23:11.984Z] GET /logs
[2026-01-25T09:23:14.223Z] [INFO] [2026-01-25T09:23:14.223Z] GET /logs
[2026-01-25T09:23:14.263Z] [INFO] [2026-01-25T09:23:14.263Z] GET /health
[2026-01-25T09:23:16.042Z] [INFO] [2026-01-25T09:23:16.042Z] GET /logs
[2026-01-25T09:23:17.996Z] [INFO] [2026-01-25T09:23:17.996Z] GET /logs
[2026-01-25T09:23:19.096Z] [INFO] [2026-01-25T09:23:19.096Z] GET /health
[2026-01-25T09:23:20.025Z] [INFO] [2026-01-25T09:23:20.025Z] GET /logs
[2026-01-25T09:23:21.997Z] [INFO] [2026-01-25T09:23:21.997Z] GET /logs
[2026-01-25T09:23:24.000Z] [INFO] [2026-01-25T09:23:24.000Z] GET /logs
[2026-01-25T09:23:24.106Z] [INFO] [2026-01-25T09:23:24.106Z] GET /health
[2026-01-25T09:23:25.995Z] [INFO] [2026-01-25T09:23:25.995Z] GET /logs
[2026-01-25T09:23:27.995Z] [INFO] [2026-01-25T09:23:27.995Z] GET /logs
[2026-01-25T09:23:29.126Z] [INFO] [2026-01-25T09:23:29.126Z] GET /health
[2026-01-25T09:23:29.994Z] [INFO] [2026-01-25T09:23:29.994Z] GET /logs
[2026-01-25T09:23:31.995Z] [INFO] [2026-01-25T09:23:31.995Z] GET /logs
[2026-01-25T09:23:33.996Z] [INFO] [2026-01-25T09:23:33.996Z] GET /logs
[2026-01-25T09:23:34.126Z] [INFO] [2026-01-25T09:23:34.126Z] GET /health
[2026-01-25T09:23:36.002Z] [INFO] [2026-01-25T09:23:36.002Z] GET /logs
[2026-01-25T09:23:37.996Z] [INFO] [2026-01-25T09:23:37.996Z] GET /logs
[2026-01-25T09:23:39.119Z] [INFO] [2026-01-25T09:23:39.119Z] GET /health
[2026-01-25T09:23:39.997Z] [INFO] [2026-01-25T09:23:39.997Z] GET /logs
[2026-01-25T09:23:41.994Z] [INFO] [2026-01-25T09:23:41.994Z] GET /logs
[2026-01-25T09:23:43.995Z] [INFO] [2026-01-25T09:23:43.995Z] GET /logs
[2026-01-25T09:23:44.124Z] [INFO] [2026-01-25T09:23:44.124Z] GET /health
[2026-01-25T09:23:45.996Z] [INFO] [2026-01-25T09:23:45.996Z] GET /logs
[2026-01-25T09:23:47.998Z] [INFO] [2026-01-25T09:23:47.998Z] GET /logs
[2026-01-25T09:23:49.122Z] [INFO] [2026-01-25T09:23:49.122Z] GET /health
[2026-01-25T09:23:49.998Z] [INFO] [2026-01-25T09:23:49.998Z] GET /logs
[2026-01-25T09:23:51.996Z] [INFO] [2026-01-25T09:23:51.996Z] GET /logs
[2026-01-25T09:23:53.998Z] [INFO] [2026-01-25T09:23:53.998Z] GET /logs
[2026-01-25T09:23:54.123Z] [INFO] [2026-01-25T09:23:54.123Z] GET /health
[2026-01-25T09:23:55.996Z] [INFO] [2026-01-25T09:23:55.996Z] GET /logs
[2026-01-25T09:23:57.996Z] [INFO] [2026-01-25T09:23:57.996Z] GET /logs
[2026-01-25T09:23:59.123Z] [INFO] [2026-01-25T09:23:59.123Z] GET /health
[2026-01-25T09:23:59.995Z] [INFO] [2026-01-25T09:23:59.995Z] GET /logs
[2026-01-25T09:24:01.997Z] [INFO] [2026-01-25T09:24:01.997Z] GET /logs
[2026-01-25T09:24:03.998Z] [INFO] [2026-01-25T09:24:03.998Z] GET /logs
[2026-01-25T09:24:04.129Z] [INFO] [2026-01-25T09:24:04.129Z] GET /health
[2026-01-25T09:24:05.998Z] [INFO] [2026-01-25T09:24:05.998Z] GET /logs
[2026-01-25T09:24:07.999Z] [INFO] [2026-01-25T09:24:07.999Z] GET /logs
[2026-01-25T09:24:09.122Z] [INFO] [2026-01-25T09:24:09.122Z] GET /health
[2026-01-25T09:24:09.996Z] [INFO] [2026-01-25T09:24:09.996Z] GET /logs
[2026-01-25T09:24:12.000Z] [INFO] [2026-01-25T09:24:12.000Z] GET /logs
[2026-01-25T09:24:14.753Z] [INFO] [2026-01-25T09:24:14.753Z] GET /logs
[2026-01-25T09:24:14.771Z] [INFO] [2026-01-25T09:24:14.771Z] GET /health
[2026-01-25T09:24:16.756Z] [INFO] [2026-01-25T09:24:16.756Z] GET /logs
[2026-01-25T09:24:18.759Z] [INFO] [2026-01-25T09:24:18.759Z] GET /logs
[2026-01-25T09:24:19.758Z] [INFO] [2026-01-25T09:24:19.758Z] GET /health
[2026-01-25T09:24:20.759Z] [INFO] [2026-01-25T09:24:20.759Z] GET /logs
[2026-01-25T09:24:22.773Z] [INFO] [2026-01-25T09:24:22.772Z] GET /logs
[2026-01-25T09:24:24.821Z] [INFO] [2026-01-25T09:24:24.821Z] GET /health
[2026-01-25T09:24:24.877Z] [INFO] [2026-01-25T09:24:24.877Z] GET /logs
[2026-01-25T09:24:26.913Z] [INFO] [2026-01-25T09:24:26.913Z] GET /logs
[2026-01-25T09:24:29.045Z] [INFO] [2026-01-25T09:24:29.045Z] GET /logs
